TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
NYG,2.41,10,2.61,20,145,36,7.3,1.91,31.6,1
CHI,2.77,5.56,2.87,18,129,17,7.2,0.96,27.8,1
DET,2.33,9.09,2.81,11,127,72,11.5,6.56,54.5,1
GB,3.32,24,2.53,25,127,35,5.1,1.45,50,2
PIT,3.04,21.05,2.73,19,114,38,6,2.14,61.1,0
BUF,3.03,23.53,2.78,17,111,43,6.5,2.55,70.6,2
PHI,3.42,36.36,2.69,22,108,8,4.9,0.4,47.6,0
IND,3.74,40,2.81,20,105,18,5.3,1,38.9,1
HOU,3.93,16,2.63,25,102,16,4.1,0.66,37.5,1
LAR,3.41,21.74,2.83,23,97,6,4.2,0.27,42.9,0
MIA,2.18,--,2.54,10,97,31,9.7,3.15,70,0
TEN,3.91,40,3.1,20,94,9,4.7,0.47,40,0
SF,3.39,64.29,2.94,14,85,25,6.1,1.82,57.1,1
NYJ,3.87,12.5,2.77,16,80,2,5,0.12,43.8,0
JAX,4.14,16.67,2.9,18,78,-1,4.3,-0.07,50,0
BAL,2.7,54.55,2.91,11,73,44,6.6,4.01,54.5,1
NO,2.77,10,2.91,10,67,26,6.7,2.58,20,0
WAS,4.08,12.5,2.8,16,65,-4,4.1,-0.28,25,0
ATL,4.13,23.08,2.63,13,63,2,4.8,0.16,36.4,0
KC,4.51,19.05,2.82,21,59,-25,2.8,-1.18,42.9,1
MIN,4.98,15.79,2.65,19,58,-17,3.1,-0.87,31.6,0
LAC,5.12,35.29,2.75,17,57,-21,3.4,-1.21,23.5,1
CAR,3.94,53.33,2.47,15,56,10,3.7,0.68,40,0
ARI,5.85,55,3.03,20,53,3,2.7,0.18,57.9,1
CLE,4.91,25,3.25,16,52,2,3.3,0.11,43.8,0
NE,6.65,5,3.23,20,48,-21,2.4,-1.05,35,2
DEN,5.77,17.65,2.89,17,44,-24,2.6,-1.42,23.5,0
DAL,4.06,--,3.27,10,34,0,3.4,0.04,50,1
ATL,5.92,50,2.73,12,33,4,2.8,0.3,66.7,0
CIN,5.29,8.33,2.41,12,32,-17,2.7,-1.4,16.7,1
NYJ,4.88,16.67,2.64,12,32,-22,2.7,-1.97,9.1,1
LV,11.51,35.71,3.02,14,15,-26,1.1,-1.87,21.4,0
